         7433371 function calls (7304118 primitive calls) in 5.823 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   266400    0.100    0.000    0.100    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\geographiclib\geomath.py:63(polyval)
     1200    0.005    0.000    0.097    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\base.py:231(get_params)
    33156    0.016    0.000    0.095    0.000 {built-in method builtins.any}
     2100    0.031    0.000    0.094    0.000 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\inspect.py:2327(_signature_from_function)
    33410    0.022    0.000    0.092    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\numpy\_core\fromnumeric.py:51(_wrapfunc)
     1200    0.007    0.000    0.092    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\base.py:200(_get_param_names)
    10086    0.008    0.000    0.090    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\indexes\base.py:7593(ensure_index)
     1482    0.014    0.000    0.087    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\indexes\base.py:475(__new__)
     2000    0.004    0.000    0.081    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_tags.py:367(get_tags)
     4853    0.050    0.000    0.080    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\numpy\_core\numeric.py:2337(isclose)
      900    0.003    0.000    0.076    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\metrics\pairwise.py:75(check_pairwise_arrays)
     6753    0.015    0.000    0.075    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_array_api.py:589(get_namespace_and_device)
    14700    0.007    0.000    0.073    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_param_validation.py:75(<listcomp>)
    29945    0.073    0.000    0.073    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      327    0.009    0.000    0.070    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\internals\construction.py:596(_homogenize)
      327    0.002    0.000    0.068    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\series.py:607(_init_dict)
      100    0.000    0.000    0.067    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\io\formats\csvs.py:272(_save)
    45752    0.020    0.000    0.067    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_array_api.py:497(get_namespace)
    20800    0.021    0.000    0.066    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_param_validation.py:104(make_constraint)
      200    0.002    0.000    0.066    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\indexes\base.py:6186(_get_indexer_strict)
      332    0.004    0.000    0.065    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\internals\managers.py:1782(_consolidate_inplace)
      100    0.001    0.000    0.064    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\io\formats\csvs.py:305(_save_body)
      100    0.000    0.000    0.064    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\base.py:863(fit_transform)
      100    0.011    0.000    0.062    0.001 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\io\formats\csvs.py:315(_save_chunk)
    60252    0.028    0.000    0.062    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\_config.py:35(get_config)
